growth_rate_hr,length_um,width_um,surface_area_um2,volume_um3,surface_to_volume,source,notes
1.152,3.104,0.760,7.411,1.251,5.924,Si et al. 2017,Taken from supplemental table.
1.103,2.974,0.694,6.480,0.989,6.554,Si et al. 2017,Taken from supplemental table.
0.628,2.596,0.578,4.717,0.609,7.745,Si et al. 2017,Taken from supplemental table.
1.785,4.751,0.917,13.691,2.842,4.818,Si et al. 2017,Taken from supplemental table.
1.082,2.611,0.833,6.829,1.197,5.704,Si et al. 2017,Taken from supplemental table.
0.833,2.895,0.819,7.449,1.307,5.699,Si et al. 2017,Taken from supplemental table.
0.736,2.539,0.745,5.943,0.947,6.273,Si et al. 2017,Taken from supplemental table.
0.692,2.742,0.758,6.530,1.063,6.144,Si et al. 2017,Taken from supplemental table.
0.313,2.244,0.675,4.755,0.683,6.962,Si et al. 2017,Taken from supplemental table.
1.766,4.819,0.982,14.862,3.276,4.537,Si et al. 2017,Taken from supplemental table.
1.064,2.789,0.932,8.168,1.576,5.182,Si et al. 2017,Taken from supplemental table.
0.800,3.032,0.806,7.682,1.339,5.735,Si et al. 2017,Taken from supplemental table.
0.828,2.978,0.890,8.330,1.577,5.284,Si et al. 2017,Taken from supplemental table.
0.710,2.754,0.833,7.209,1.268,5.687,Si et al. 2017,Taken from supplemental table.
0.669,2.863,0.853,7.671,1.387,5.531,Si et al. 2017,Taken from supplemental table.
0.450,2.542,0.702,5.606,0.844,6.642,Si et al. 2017,Taken from supplemental table.
1.654,5.133,1.005,16.175,3.664,4.453,Si et al. 2017,Taken from supplemental table.
1.499,5.094,0.854,13.642,2.667,5.172,Si et al. 2017,Taken from supplemental table.
0.720,2.728,0.731,6.236,0.983,6.397,Si et al. 2017,Taken from supplemental table.
1.065,3.207,0.795,7.982,1.387,5.811,Si et al. 2017,Taken from supplemental table.
0.829,2.630,0.798,6.562,1.105,5.982,Si et al. 2017,Taken from supplemental table.
0.753,2.963,0.761,7.053,1.165,6.097,Si et al. 2017,Taken from supplemental table.
0.413,2.470,0.657,5.070,0.719,7.116,Si et al. 2017,Taken from supplemental table.
1.748,4.993,0.992,15.529,3.466,4.522,Si et al. 2017,Taken from supplemental table.
1.498,5.022,0.870,13.689,2.716,5.077,Si et al. 2017,Taken from supplemental table.
1.338,4.560,0.908,12.994,2.657,4.941,Si et al. 2017,Taken from supplemental table.
1.038,3.232,0.782,7.915,1.357,5.883,Si et al. 2017,Taken from supplemental table.
0.793,2.673,0.782,6.541,1.087,6.058,Si et al. 2017,Taken from supplemental table.
0.757,2.909,0.774,7.035,1.174,6.033,Si et al. 2017,Taken from supplemental table.
0.340,2.663,0.660,5.489,0.790,7.019,Si et al. 2017,Taken from supplemental table.
1.830,4.940,1.360,21.106,6.600,3.198,Basan et al. 2015,Taken from Table S2. Surface area calculated from provided lengths and widths assuming a spherocylinder.
1.290,3.290,1.210,12.506,3.330,3.756,Basan et al. 2015,Taken from Table S2. Surface area calculated from provided lengths and widths assuming a spherocylinder.
0.980,2.950,1.070,9.916,2.320,4.274,Basan et al. 2015,Taken from Table S2. Surface area calculated from provided lengths and widths assuming a spherocylinder.
0.700,2.840,0.920,8.208,1.700,4.828,Basan et al. 2015,Taken from Table S2. Surface area calculated from provided lengths and widths assuming a spherocylinder.
0.470,2.510,0.980,7.728,1.670,4.627,Basan et al. 2015,Taken from Table S2. Surface area calculated from provided lengths and widths assuming a spherocylinder.
0.420,2.370,0.910,6.775,1.360,4.982,Basan et al. 2015,Taken from Table S2. Surface area calculated from provided lengths and widths assuming a spherocylinder.
0.859,2.626,0.663,5.467,0.835,6.671,Chure et al. 2025,From supplemental dataset. 
0.854,2.536,0.661,5.257,0.796,6.699,Chure et al. 2025,From supplemental dataset. 
0.674,2.418,0.593,4.496,0.615,7.429,Chure et al. 2025,From supplemental dataset. 
0.619,2.322,0.605,4.414,0.616,7.346,Chure et al. 2025,From supplemental dataset. 
0.884,2.371,0.699,5.185,0.818,6.420,Chure et al. 2025,From supplemental dataset. 
0.700,2.429,0.664,5.032,0.759,6.726,Chure et al. 2025,From supplemental dataset. 
0.632,2.270,0.603,4.277,0.588,7.361,Chure et al. 2025,From supplemental dataset. 
0.609,2.316,0.621,4.506,0.643,7.181,Chure et al. 2025,From supplemental dataset. 
2.269,3.852,0.919,11.138,2.370,4.773,Chure et al. 2025,From supplemental dataset. 
1.477,3.182,0.874,8.769,1.771,5.168,Chure et al. 2025,From supplemental dataset. 
2.273,4.212,0.924,12.256,2.649,4.736,Chure et al. 2025,From supplemental dataset. 
1.303,3.341,0.864,9.125,1.828,5.170,Chure et al. 2025,From supplemental dataset. 
0.354,2.045,0.598,3.841,0.522,7.507,Chure et al. 2025,From supplemental dataset. 
0.385,2.064,0.610,3.945,0.544,7.361,Chure et al. 2025,From supplemental dataset. 
